passenger_id,classe,sobreviveu,sexo,idade,irmaos_conjuge,pais_filhos,bilhete,tarifa,embarque
0,1,1,female,29.0,0,0,24160,211.3375,S
1,1,1,male,0.9167,1,2,113781,151.55,S
2,1,0,female,2.0,1,2,113781,151.55,S
3,1,0,male,30.0,1,2,113781,151.55,S
4,1,0,female,25.0,1,2,113781,151.55,S
5,1,1,male,48.0,0,0,19952,26.55,S
6,1,1,female,63.0,1,0,13502,77.9583,S
7,1,0,male,39.0,0,0,112050,0.0,S
8,1,1,female,53.0,2,0,11769,51.4792,S
9,1,0,male,71.0,0,0,PC 17609,49.5042,C
10,1,0,male,47.0,1,0,PC 17757,227.525,C
11,1,1,female,18.0,1,0,PC 17757,227.525,C
12,1,1,female,24.0,0,0,PC 17477,69.3,C
13,1,1,female,26.0,0,0,19877,78.85,S
14,1,1,male,80.0,0,0,27042,30.0,S
15,1,0,male,3.0,0,0,PC 17318,25.925,S
16,1,0,male,24.0,0,1,PC 17558,247.5208,C
17,1,1,female,50.0,0,1,PC 17558,247.5208,C
18,1,1,female,32.0,0,0,11813,76.2917,C
19,1,0,male,36.0,0,0,13050,75.2417,C
20,1,1,male,37.0,1,1,11751,52.5542,S
21,1,1,female,47.0,1,1,11751,52.5542,S
22,1,1,male,26.0,0,0,111369,30.0,C
23,1,1,female,42.0,0,0,PC 17757,227.525,C
24,1,1,female,29.0,0,0,PC 17483,221.7792,S
25,1,0,male,25.0,0,0,13905,26.0,C
26,1,1,male,25.0,1,0,11967,91.0792,C
27,1,1,female,19.0,1,0,11967,91.0792,C
28,1,1,female,35.0,0,0,PC 17760,135.6333,S
29,1,1,male,28.0,0,0,110564,26.55,S
30,1,0,male,45.0,0,0,113784,35.5,S
31,1,1,male,40.0,0,0,112277,31.0,C
32,1,1,female,30.0,0,0,36928,164.8667,S
33,1,1,female,58.0,0,0,113783,26.55,S
34,1,0,male,42.0,0,0,110489,26.55,S
35,1,1,female,45.0,0,0,PC 17608,262.375,C
36,1,1,female,22.0,0,1,113505,55.0,S
37,1,1,male,3.0,0,0,111427,26.55,S
38,1,0,male,41.0,0,0,113054,30.5,S
39,1,0,male,48.0,0,0,PC 17591,50.4958,C
40,1,0,male,3.0,0,0,112379,39.6,C
41,1,1,female,44.0,0,0,PC 17610,27.7208,C
42,1,1,female,59.0,2,0,11769,51.4792,S
43,1,1,female,60.0,0,0,11813,76.2917,C
44,1,1,female,41.0,0,0,16966,134.5,C
45,1,0,male,45.0,0,0,113050,26.55,S
46,1,0,male,3.0,0,0,113798,31.0,S
47,1,1,male,42.0,0,0,PC 17476,26.2875,S
48,1,1,female,53.0,0,0,PC 17606,27.4458,C
49,1,1,male,36.0,0,1,PC 17755,512.3292,C
50,1,1,female,58.0,0,1,PC 17755,512.3292,C
51,1,0,male,33.0,0,0,695,5.0,S
52,1,0,male,28.0,0,0,113059,47.1,S
53,1,0,male,17.0,0,0,113059,47.1,S
54,1,1,male,11.0,1,2,113760,120.0,S
55,1,1,female,14.0,1,2,113760,120.0,S
56,1,1,male,36.0,1,2,113760,120.0,S
57,1,1,female,36.0,1,2,113760,120.0,S
58,1,0,male,49.0,0,0,19924,26.0,S
59,1,1,female,3.0,0,0,17770,27.7208,C
60,1,0,male,36.0,1,0,19877,78.85,S
61,1,1,female,76.0,1,0,19877,78.85,S
62,1,0,male,46.0,1,0,W.E.P. 5734,61.175,S
63,1,1,female,47.0,1,0,W.E.P. 5734,61.175,S
64,1,1,male,27.0,1,0,113806,53.1,S
65,1,1,female,33.0,1,0,113806,53.1,S
66,1,1,female,36.0,0,0,PC 17608,262.375,C
67,1,1,female,30.0,0,0,110152,86.5,S
68,1,1,male,45.0,0,0,PC 17594,29.7,C
69,1,1,female,3.0,0,1,113505,55.0,S
70,1,0,male,3.0,0,0,112051,0.0,S
71,1,0,male,27.0,1,0,13508,136.7792,C
72,1,1,female,26.0,1,0,13508,136.7792,C
73,1,1,female,22.0,0,0,113781,151.55,S
74,1,0,male,3.0,0,0,110465,52.0,S
75,1,0,male,47.0,0,0,5727,25.5875,S
76,1,1,female,39.0,1,1,PC 17756,83.1583,C
77,1,0,male,37.0,1,1,PC 17756,83.1583,C
78,1,1,female,64.0,0,2,PC 17756,83.1583,C
79,1,1,female,55.0,2,0,11770,25.7,S
80,1,0,male,3.0,0,0,113791,26.55,S
81,1,0,male,70.0,1,1,WE/P 5735,71.0,S
82,1,1,female,36.0,0,2,WE/P 5735,71.0,S
83,1,1,female,64.0,1,1,112901,26.55,S
84,1,0,male,39.0,1,0,PC 17599,71.2833,C
85,1,1,female,38.0,1,0,PC 17599,71.2833,C
86,1,1,male,51.0,0,0,113055,26.55,S
87,1,1,male,27.0,0,0,113804,30.5,S
88,1,1,female,33.0,0,0,113781,151.55,S
89,1,0,male,31.0,1,0,F.C. 12750,52.0,S
90,1,1,female,27.0,1,2,F.C. 12750,52.0,S
91,1,1,male,31.0,1,0,17474,57.0,S
92,1,1,female,17.0,1,0,17474,57.0,S
93,1,1,male,53.0,1,1,33638,81.8583,S
94,1,1,male,4.0,0,2,33638,81.8583,S
95,1,1,female,54.0,1,1,33638,81.8583,S
96,1,0,male,50.0,1,0,PC 17761,106.425,C
97,1,1,female,27.0,1,1,PC 17558,247.5208,C
98,1,1,female,48.0,1,0,PC 17761,106.425,C
99,1,1,female,48.0,1,0,11755,39.6,C
100,1,1,male,49.0,1,0,PC 17485,56.9292,C
101,1,0,male,39.0,0,0,PC 17580,29.7,C
102,1,1,female,23.0,0,1,11767,83.1583,C
103,1,1,female,38.0,0,0,PC 17757,227.525,C
104,1,1,female,54.0,1,0,36947,78.2667,C
105,1,0,female,36.0,0,0,PC 17531,31.6792,C
106,1,0,male,3.0,0,0,PC 17483,221.7792,S
107,1,1,female,3.0,0,0,PC 17598,31.6833,S
108,1,1,female,3.0,0,0,17421,110.8833,C
109,1,1,male,36.0,0,0,PC 17474,26.3875,S
110,1,0,male,30.0,0,0,113051,27.75,C
111,1,1,female,24.0,3,2,19950,263.0,S
112,1,1,female,28.0,3,2,19950,263.0,S
113,1,1,female,23.0,3,2,19950,263.0,S
114,1,0,male,19.0,3,2,19950,263.0,S
115,1,0,male,64.0,1,4,19950,263.0,S
116,1,1,female,60.0,1,4,19950,263.0,S
117,1,1,female,30.0,0,0,PC 17485,56.9292,C
118,1,0,male,3.0,0,0,113778,26.55,S
119,1,1,male,50.0,2,0,PC 17611,133.65,S
120,1,1,male,43.0,1,0,17765,27.7208,C
121,1,1,female,3.0,1,0,PC 17611,133.65,S
122,1,1,female,22.0,0,2,13568,49.5,C
123,1,1,male,60.0,1,1,13567,79.2,C
124,1,1,female,48.0,1,1,13567,79.2,C
125,1,0,male,3.0,0,0,112058,0.0,S
126,1,0,male,37.0,1,0,113803,53.1,S
127,1,1,female,35.0,1,0,113803,53.1,S
128,1,0,male,47.0,0,0,111320,38.5,S
129,1,1,female,35.0,0,0,113503,211.5,C
130,1,1,female,22.0,0,1,112378,59.4,C
131,1,1,female,45.0,0,1,112378,59.4,C
132,1,0,male,24.0,0,0,PC 17593,79.2,C
133,1,1,male,49.0,1,0,17453,89.1042,C
134,1,1,female,3.0,1,0,17453,89.1042,C
135,1,0,male,71.0,0,0,PC 17754,34.6542,C
136,1,1,male,53.0,0,0,113780,28.5,C
137,1,1,female,19.0,0,0,112053,30.0,S
138,1,0,male,38.0,0,1,PC 17582,153.4625,S
139,1,1,female,58.0,0,1,PC 17582,153.4625,S
140,1,1,male,23.0,0,1,PC 17759,63.3583,C
141,1,1,female,45.0,0,1,PC 17759,63.3583,C
142,1,0,male,46.0,0,0,PC 17593,79.2,C
143,1,1,male,25.0,1,0,11765,55.4417,C
144,1,1,female,25.0,1,0,11765,55.4417,C
145,1,1,male,48.0,1,0,PC 17572,76.7292,C
146,1,1,female,49.0,1,0,PC 17572,76.7292,C
147,1,0,male,3.0,0,0,113796,42.4,S
148,1,0,male,45.0,1,0,36973,83.475,S
149,1,1,female,35.0,1,0,36973,83.475,S
150,1,0,male,40.0,0,0,112059,0.0,S
151,1,1,male,27.0,0,0,PC 17572,76.7292,C
152,1,1,male,3.0,0,0,16988,30.0,S
153,1,1,female,24.0,0,0,11767,83.1583,C
154,1,0,male,55.0,1,1,12749,93.5,S
155,1,1,female,52.0,1,1,12749,93.5,S
156,1,0,male,42.0,0,0,113038,42.5,S
157,1,0,male,3.0,0,0,17463,51.8625,S
158,1,0,male,55.0,0,0,680,50.0,S
159,1,1,female,16.0,0,1,111361,57.9792,C
160,1,1,female,44.0,0,1,111361,57.9792,C
161,1,1,female,51.0,1,0,13502,77.9583,S
162,1,0,male,42.0,1,0,113789,52.0,S
163,1,1,female,35.0,1,0,113789,52.0,S
164,1,1,male,35.0,0,0,111426,26.55,C
165,1,1,male,38.0,1,0,19943,90.0,S
166,1,0,male,3.0,0,0,PC 17600,30.6958,C
167,1,1,female,35.0,1,0,19943,90.0,S
168,1,1,female,38.0,0,0,113572,80.0,24.0
169,1,0,female,50.0,0,0,PC 17595,28.7125,C
170,1,1,male,49.0,0,0,112058,0.0,S
171,1,0,male,46.0,0,0,694,26.0,S
172,1,0,male,50.0,0,0,113044,26.0,S
173,1,0,male,32.5,0,0,113503,211.5,C
174,1,0,male,58.0,0,0,11771,29.7,C
175,1,0,male,41.0,1,0,17464,51.8625,S
176,1,1,female,3.0,1,0,17464,51.8625,S
177,1,1,male,42.0,1,0,11753,52.5542,S
178,1,1,female,45.0,1,0,11753,52.5542,S
179,1,0,male,3.0,0,0,113028,26.55,S
180,1,1,female,39.0,0,0,24160,211.3375,S
181,1,1,female,49.0,0,0,17465,25.9292,S
182,1,1,female,30.0,0,0,PC 17761,106.425,C
183,1,1,male,35.0,0,0,PC 17755,512.3292,C
184,1,0,male,3.0,0,0,PC 17612,27.7208,C
185,1,0,male,42.0,0,0,17475,26.55,S
186,1,1,female,55.0,0,0,112377,27.7208,C
187,1,1,female,16.0,0,1,PC 17592,39.4,S
188,1,1,female,51.0,0,1,PC 17592,39.4,S
189,1,0,male,29.0,0,0,113501,30.0,S
190,1,1,female,21.0,0,0,13502,77.9583,S
191,1,0,male,30.0,0,0,113801,45.5,S
192,1,1,female,58.0,0,0,PC 17569,146.5208,C
193,1,1,female,15.0,0,1,24160,211.3375,S
194,1,0,male,30.0,0,0,110469,26.0,S
195,1,1,female,16.0,0,0,110152,86.5,S
196,1,1,male,3.0,0,0,11774,29.7,C
197,1,0,male,19.0,1,0,113773,53.1,S
198,1,1,female,18.0,1,0,113773,53.1,S
199,1,1,female,24.0,0,0,PC 17482,49.5042,C
200,1,0,male,46.0,0,0,13050,75.2417,C
201,1,0,male,54.0,0,0,17463,51.8625,S
202,1,1,male,36.0,0,0,PC 17473,26.2875,S
203,1,0,male,28.0,1,0,PC 17604,82.1708,C
204,1,1,female,3.0,1,0,PC 17604,82.1708,C
205,1,0,male,65.0,0,0,13509,26.55,S
206,1,0,male,44.0,2,0,19928,90.0,Q
207,1,1,female,33.0,1,0,19928,90.0,Q
208,1,1,female,37.0,1,0,19928,90.0,Q
209,1,1,male,30.0,1,0,13236,57.75,C
210,1,0,male,55.0,0,0,113787,30.5,S
211,1,0,male,47.0,0,0,113796,42.4,S
212,1,0,male,37.0,0,1,PC 17596,29.7,C
213,1,1,female,31.0,1,0,35273,113.275,C
214,1,1,female,23.0,1,0,35273,113.275,C
215,1,0,male,58.0,0,2,35273,113.275,C
216,1,1,female,19.0,0,2,11752,26.2833,S
217,1,0,male,64.0,0,0,693,26.0,S
218,1,1,female,39.0,0,0,PC 17758,108.9,C
219,1,1,male,3.0,0,0,F.C. 12998,25.7417,C
220,1,1,female,22.0,0,1,113509,61.9792,C
221,1,0,male,65.0,0,1,113509,61.9792,C
222,1,0,male,28.5,0,0,PC 17562,27.7208,C
223,1,0,male,3.0,0,0,112052,0.0,S
224,1,0,male,45.5,0,0,113043,28.5,S
225,1,0,male,23.0,0,0,12749,93.5,S
226,1,0,male,29.0,1,0,113776,66.6,S
227,1,1,female,22.0,1,0,113776,66.6,S
228,1,0,male,18.0,1,0,PC 17758,108.9,C
229,1,1,female,17.0,1,0,PC 17758,108.9,C
230,1,1,female,30.0,0,0,12749,93.5,S
231,1,1,male,52.0,0,0,113786,30.5,S
232,1,0,male,47.0,0,0,110465,52.0,S
233,1,1,female,56.0,0,1,11767,83.1583,C
234,1,0,male,38.0,0,0,19972,0.0,S
235,1,1,male,3.0,0,0,PC 17607,39.6,S
236,1,0,male,22.0,0,0,PC 17760,135.6333,C
237,1,0,male,3.0,0,0,PC 17757,227.525,C
238,1,1,female,43.0,0,1,24160,211.3375,S
239,1,0,male,31.0,0,0,PC 17590,50.4958,S
240,1,1,male,45.0,0,0,111428,26.55,S
241,1,0,male,3.0,0,0,113767,50.0,S
242,1,1,female,33.0,0,0,PC 17613,27.7208,C
243,1,0,male,46.0,0,0,PC 17585,79.2,C
244,1,0,male,36.0,0,0,13049,40.125,C
245,1,1,female,33.0,0,0,110152,86.5,S
246,1,0,male,55.0,1,0,PC 17603,59.4,C
247,1,1,female,54.0,1,0,PC 17603,59.4,C
248,1,0,male,33.0,0,0,113790,26.55,S
249,1,1,male,13.0,2,2,PC 17608,262.375,C
250,1,1,female,18.0,2,2,PC 17608,262.375,C
251,1,1,female,21.0,2,2,PC 17608,262.375,C
252,1,0,male,61.0,1,3,PC 17608,262.375,C
253,1,1,female,48.0,1,3,PC 17608,262.375,C
254,1,1,male,3.0,0,0,19988,30.5,S
255,1,1,female,24.0,0,0,PC 17477,69.3,C
256,1,1,male,3.0,0,0,111163,26.0,S
257,1,1,female,35.0,1,0,13236,57.75,C
258,1,1,female,30.0,0,0,113798,31.0,C
259,1,1,male,34.0,0,0,113794,26.55,S
260,1,1,female,40.0,0,0,PC 17582,153.4625,S
261,1,1,male,35.0,0,0,PC 17475,26.2875,S
262,1,0,male,50.0,1,0,13507,55.9,S
263,1,1,female,39.0,1,0,13507,55.9,S
264,1,1,male,56.0,0,0,13213,35.5,C
265,1,1,male,28.0,0,0,113788,35.5,S
266,1,0,male,56.0,0,0,113792,26.55,S
267,1,0,male,56.0,0,0,17764,30.6958,C
268,1,0,male,24.0,1,0,13695,60.0,S
269,1,0,male,3.0,0,0,113056,26.0,S
270,1,1,female,18.0,1,0,13695,60.0,S
271,1,1,male,24.0,1,0,21228,82.2667,S
272,1,1,female,23.0,1,0,21228,82.2667,S
273,1,1,male,6.0,0,2,16966,134.5,C
274,1,1,male,45.0,1,1,16966,134.5,C
275,1,1,female,40.0,1,1,16966,134.5,C
276,1,0,male,57.0,1,0,PC 17569,146.5208,C
277,1,1,female,3.0,1,0,PC 17569,146.5208,C
278,1,1,male,32.0,0,0,13214,30.5,C
279,1,0,male,62.0,0,0,113514,26.55,S
280,1,1,male,54.0,1,0,11778,55.4417,C
281,1,1,female,43.0,1,0,11778,55.4417,C
282,1,1,female,52.0,1,0,36947,78.2667,C
283,1,0,male,3.0,0,0,PC 17605,27.7208,C
284,1,1,female,62.0,0,0,113572,80.0,24.0
285,1,0,male,67.0,1,0,PC 17483,221.7792,S
286,1,0,female,63.0,1,0,PC 17483,221.7792,S
287,1,0,male,61.0,0,0,36963,32.3208,S
288,1,1,female,48.0,0,0,17466,25.9292,S
289,1,1,female,18.0,0,2,110413,79.65,S
290,1,0,male,52.0,1,1,110413,79.65,S
291,1,1,female,39.0,1,1,110413,79.65,S
292,1,1,male,48.0,1,0,19996,52.0,S
293,1,1,female,3.0,1,0,19996,52.0,S
294,1,0,male,49.0,1,1,17421,110.8833,C
295,1,1,male,17.0,0,2,17421,110.8833,C
296,1,1,female,39.0,1,1,17421,110.8833,C
297,1,1,female,3.0,0,0,PC 17585,79.2,C
298,1,1,male,31.0,0,0,2543,28.5375,C
299,1,0,male,40.0,0,0,PC 17601,27.7208,C
300,1,0,male,61.0,0,0,111240,33.5,S
301,1,0,male,47.0,0,0,36967,34.0208,S
302,1,1,female,35.0,0,0,PC 17755,512.3292,C
303,1,0,male,64.0,1,0,110813,75.25,C
304,1,1,female,60.0,1,0,110813,75.25,C
305,1,0,male,60.0,0,0,113800,26.55,S
306,1,0,male,54.0,0,1,35281,77.2875,S
307,1,0,male,21.0,0,1,35281,77.2875,S
308,1,1,female,55.0,0,0,PC 17760,135.6333,C
309,1,1,female,31.0,0,2,36928,164.8667,S
310,1,0,male,57.0,1,1,36928,164.8667,S
311,1,1,female,45.0,1,1,36928,164.8667,S
312,1,0,male,50.0,1,1,113503,211.5,C
313,1,0,male,27.0,0,2,113503,211.5,C
314,1,1,female,50.0,1,1,113503,211.5,C
315,1,1,female,21.0,0,0,113795,26.55,S
316,1,0,male,51.0,0,1,PC 17597,61.3792,C
317,1,1,male,21.0,0,1,PC 17597,61.3792,C
318,1,0,male,3.0,0,0,113510,35.0,S
319,1,1,female,31.0,0,0,16966,134.5,C
320,1,1,male,3.0,0,0,19947,35.5,S
321,1,0,male,62.0,0,0,113807,26.55,S
322,1,1,female,36.0,0,0,PC 17760,135.6333,C
323,2,0,male,30.0,1,0,P/PP 3381,24.0,C
324,2,1,female,28.0,1,0,P/PP 3381,24.0,C
325,2,0,male,30.0,0,0,248744,13.0,S
326,2,0,male,18.0,0,0,231945,11.5,S
327,2,0,male,25.0,0,0,C.A. 34050,10.5,S
328,2,0,male,34.0,1,0,226875,26.0,S
329,2,1,female,36.0,1,0,226875,26.0,S
330,2,0,male,57.0,0,0,244346,13.0,S
331,2,0,male,18.0,0,0,29108,11.5,S
332,2,0,male,23.0,0,0,C.A. 31030,10.5,S
333,2,1,female,36.0,0,0,28551,13.0,S
334,2,0,male,28.0,0,0,C.A./SOTON 34068,10.5,S
335,2,0,male,51.0,0,0,S.O.P. 1166,12.525,S
336,2,1,male,32.0,1,0,2908,26.0,S
337,2,1,female,19.0,1,0,2908,26.0,S
338,2,0,male,28.0,0,0,244358,26.0,S
339,2,1,male,1.0,2,1,230136,39.0,S
340,2,1,female,4.0,2,1,230136,39.0,S
341,2,1,female,12.0,2,1,230136,39.0,S
342,2,1,female,36.0,0,3,230136,39.0,S
343,2,1,male,34.0,0,0,248698,13.0,S
344,2,1,female,19.0,0,0,28404,13.0,S
345,2,0,male,23.0,0,0,28425,13.0,S
346,2,0,male,26.0,0,0,237670,13.0,S
347,2,0,male,42.0,0,0,211535,13.0,S
348,2,0,male,27.0,0,0,220367,13.0,S
349,2,1,female,24.0,0,0,248733,13.0,S
350,2,1,female,15.0,0,2,29750,39.0,S
351,2,0,male,60.0,1,1,29750,39.0,S
352,2,1,female,40.0,1,1,29750,39.0,S
353,2,1,female,20.0,1,0,236853,26.0,S
354,2,0,male,25.0,1,0,236853,26.0,S
355,2,1,female,36.0,0,0,27849,13.0,S
356,2,0,male,25.0,0,0,234686,13.0,S
357,2,0,male,42.0,0,0,244310,13.0,S
358,2,1,female,42.0,0,0,236852,13.0,S
359,2,1,male,0.8333,0,2,248738,29.0,S
360,2,1,male,26.0,1,1,248738,29.0,S
361,2,1,female,22.0,1,1,248738,29.0,S
362,2,1,female,35.0,0,0,F.C.C. 13528,21.0,S
363,2,0,male,3.0,0,0,239853,0.0,S
364,2,0,male,19.0,0,0,28424,13.0,S
365,2,0,female,44.0,1,0,244252,26.0,S
366,2,0,male,54.0,1,0,244252,26.0,S
367,2,0,male,52.0,0,0,248731,13.5,S
368,2,0,male,37.0,1,0,SC/AH 29037,26.0,S
369,2,0,female,29.0,1,0,SC/AH 29037,26.0,S
370,2,1,female,25.0,1,1,237789,30.0,S
371,2,1,female,45.0,0,2,237789,30.0,S
372,2,0,male,29.0,1,0,2003,26.0,S
373,2,1,female,28.0,1,0,2003,26.0,S
374,2,0,male,29.0,0,0,W./C. 14263,10.5,S
375,2,0,male,28.0,0,0,248740,13.0,S
376,2,1,male,24.0,0,0,28034,10.5,S
377,2,1,female,8.0,0,2,C.A. 31921,26.25,S
378,2,0,male,31.0,1,1,C.A. 31921,26.25,S
379,2,1,female,31.0,1,1,C.A. 31921,26.25,S
380,2,1,female,22.0,0,0,W./C. 14266,10.5,S
381,2,0,female,30.0,0,0,237249,13.0,S
382,2,0,female,3.0,0,0,F.C.C. 13534,21.0,S
383,2,0,male,21.0,0,0,29107,11.5,S
384,2,0,male,3.0,0,0,239853,0.0,S
385,2,1,male,8.0,1,1,C.A. 33112,36.75,S
386,2,0,male,18.0,0,0,S.O.C. 14879,73.5,S
387,2,1,female,48.0,0,2,C.A. 33112,36.75,S
388,2,1,female,28.0,0,0,237668,13.0,S
389,2,0,male,32.0,0,0,244360,13.0,S
390,2,0,male,17.0,0,0,S.O.C. 14879,73.5,S
391,2,0,male,29.0,1,0,SC/PARIS 2167,27.7208,C
392,2,1,female,24.0,1,0,SC/PARIS 2167,27.7208,C
393,2,0,male,25.0,0,0,C.A. 31029,31.5,S
394,2,0,male,18.0,0,0,S.O.C. 14879,73.5,S
395,2,1,female,18.0,0,1,231919,23.0,S
396,2,1,female,34.0,0,1,231919,23.0,S
397,2,0,male,54.0,0,0,28403,26.0,S
398,2,1,male,8.0,0,2,28220,32.5,S
399,2,0,male,42.0,1,1,28220,32.5,S
400,2,1,female,34.0,1,1,28220,32.5,S
401,2,1,female,27.0,1,0,SC/PARIS 2149,13.8583,C
402,2,1,female,30.0,1,0,SC/PARIS 2148,13.8583,C
403,2,0,male,23.0,0,0,29751,13.0,S
404,2,0,male,21.0,0,0,236854,13.0,S
405,2,0,male,18.0,0,0,236171,13.0,S
406,2,0,male,40.0,1,0,2926,26.0,S
407,2,1,female,29.0,1,0,2926,26.0,S
408,2,0,male,18.0,0,0,C.A. 15185,10.5,S
409,2,0,male,36.0,0,0,229236,13.0,S
410,2,0,male,3.0,0,0,239854,0.0,S
411,2,0,female,38.0,0,0,237671,13.0,S
412,2,0,male,35.0,0,0,239865,26.0,S
413,2,0,male,38.0,1,0,28664,21.0,S
414,2,0,male,34.0,1,0,28664,21.0,S
415,2,1,female,34.0,0,0,243880,13.0,S
416,2,0,male,16.0,0,0,239865,26.0,S
417,2,0,male,26.0,0,0,31028,10.5,S
418,2,0,male,47.0,0,0,C.A. 30769,10.5,S
419,2,0,male,21.0,1,0,28133,11.5,S
420,2,0,male,21.0,1,0,28134,11.5,S
421,2,0,male,24.0,0,0,248726,13.5,S
422,2,0,male,24.0,0,0,233866,13.0,S
423,2,0,male,34.0,0,0,12233,13.0,S
424,2,0,male,30.0,0,0,250646,13.0,S
425,2,0,male,52.0,0,0,250647,13.0,S
426,2,0,male,30.0,0,0,250653,13.0,S
427,2,1,male,0.6667,1,1,250649,14.5,S
428,2,1,female,24.0,0,2,250649,14.5,S
429,2,0,male,44.0,0,0,248746,13.0,S
430,2,1,female,6.0,0,1,248727,33.0,S
431,2,0,male,28.0,0,1,248727,33.0,S
432,2,1,male,62.0,0,0,S.W./PP 752,10.5,S
433,2,0,male,30.0,0,0,W/C 14208,10.5,S
434,2,1,female,7.0,0,2,F.C.C. 13529,26.25,S
435,2,0,male,43.0,1,1,F.C.C. 13529,26.25,S
436,2,1,female,45.0,1,1,F.C.C. 13529,26.25,S
437,2,1,female,24.0,1,2,220845,65.0,S
