passenger_id,classe,sobreviveu,idade,irmaos_conjuge,pais_filhos,tarifa,sexo_female,sexo_male,embarque_24.0,embarque_C,embarque_Q,embarque_S
0,1,1,29.0,0,0,14.4542,1,0,0,0,0,1
1,1,1,0.9167,1,2,14.4542,0,1,0,0,0,1
5,1,1,48.0,0,0,26.55,0,1,0,0,0,1
6,1,1,63.0,1,0,77.9583,1,0,0,0,0,1
8,1,1,53.0,2,0,51.4792,1,0,0,0,0,1
11,1,1,18.0,1,0,14.4542,1,0,0,1,0,0
12,1,1,24.0,0,0,69.3,1,0,0,1,0,0
13,1,1,26.0,0,0,78.85,1,0,0,0,0,1
14,1,1,80.0,0,0,30.0,0,1,0,0,0,1
17,1,1,50.0,0,1,14.4542,1,0,0,1,0,0
18,1,1,32.0,0,0,76.2917,1,0,0,1,0,0
20,1,1,37.0,1,1,52.5542,0,1,0,0,0,1
21,1,1,47.0,1,1,52.5542,1,0,0,0,0,1
22,1,1,26.0,0,0,30.0,0,1,0,1,0,0
23,1,1,42.0,0,0,14.4542,1,0,0,1,0,0
24,1,1,29.0,0,0,14.4542,1,0,0,0,0,1
26,1,1,25.0,1,0,91.0792,0,1,0,1,0,0
27,1,1,19.0,1,0,91.0792,1,0,0,1,0,0
28,1,1,35.0,0,0,135.6333,1,0,0,0,0,1
29,1,1,28.0,0,0,26.55,0,1,0,0,0,1
31,1,1,40.0,0,0,31.0,0,1,0,1,0,0
32,1,1,30.0,0,0,14.4542,1,0,0,0,0,1
33,1,1,58.0,0,0,26.55,1,0,0,0,0,1
35,1,1,45.0,0,0,14.4542,1,0,0,1,0,0
36,1,1,22.0,0,1,55.0,1,0,0,0,0,1
37,1,1,3.0,0,0,26.55,0,1,0,0,0,1
41,1,1,44.0,0,0,27.7208,1,0,0,1,0,0
42,1,1,59.0,2,0,51.4792,1,0,0,0,0,1
43,1,1,60.0,0,0,76.2917,1,0,0,1,0,0
44,1,1,41.0,0,0,134.5,1,0,0,1,0,0
47,1,1,42.0,0,0,26.2875,0,1,0,0,0,1
48,1,1,53.0,0,0,27.4458,1,0,0,1,0,0
49,1,1,36.0,0,1,14.4542,0,1,0,1,0,0
50,1,1,58.0,0,1,14.4542,1,0,0,1,0,0
54,1,1,11.0,1,2,120.0,0,1,0,0,0,1
55,1,1,14.0,1,2,120.0,1,0,0,0,0,1
56,1,1,36.0,1,2,120.0,0,1,0,0,0,1
57,1,1,36.0,1,2,120.0,1,0,0,0,0,1
59,1,1,3.0,0,0,27.7208,1,0,0,1,0,0
61,1,1,76.0,1,0,78.85,1,0,0,0,0,1
63,1,1,47.0,1,0,61.175,1,0,0,0,0,1
64,1,1,27.0,1,0,53.1,0,1,0,0,0,1
65,1,1,33.0,1,0,53.1,1,0,0,0,0,1
66,1,1,36.0,0,0,14.4542,1,0,0,1,0,0
67,1,1,30.0,0,0,86.5,1,0,0,0,0,1
68,1,1,45.0,0,0,29.7,0,1,0,1,0,0
69,1,1,3.0,0,1,55.0,1,0,0,0,0,1
72,1,1,26.0,1,0,14.4542,1,0,0,1,0,0
73,1,1,22.0,0,0,14.4542,1,0,0,0,0,1
76,1,1,39.0,1,1,83.1583,1,0,0,1,0,0
78,1,1,64.0,0,2,83.1583,1,0,0,1,0,0
79,1,1,55.0,2,0,25.7,1,0,0,0,0,1
82,1,1,36.0,0,2,71.0,1,0,0,0,0,1
83,1,1,64.0,1,1,26.55,1,0,0,0,0,1
85,1,1,38.0,1,0,71.2833,1,0,0,1,0,0
86,1,1,51.0,0,0,26.55,0,1,0,0,0,1
87,1,1,27.0,0,0,30.5,0,1,0,0,0,1
88,1,1,33.0,0,0,14.4542,1,0,0,0,0,1
90,1,1,27.0,1,2,52.0,1,0,0,0,0,1
91,1,1,31.0,1,0,57.0,0,1,0,0,0,1
92,1,1,17.0,1,0,57.0,1,0,0,0,0,1
93,1,1,53.0,1,1,81.8583,0,1,0,0,0,1
94,1,1,4.0,0,2,81.8583,0,1,0,0,0,1
95,1,1,54.0,1,1,81.8583,1,0,0,0,0,1
97,1,1,27.0,1,1,14.4542,1,0,0,1,0,0
98,1,1,48.0,1,0,106.425,1,0,0,1,0,0
99,1,1,48.0,1,0,39.6,1,0,0,1,0,0
100,1,1,49.0,1,0,56.9292,0,1,0,1,0,0
102,1,1,23.0,0,1,83.1583,1,0,0,1,0,0
103,1,1,38.0,0,0,14.4542,1,0,0,1,0,0
104,1,1,54.0,1,0,78.2667,1,0,0,1,0,0
107,1,1,3.0,0,0,31.6833,1,0,0,0,0,1
108,1,1,3.0,0,0,110.8833,1,0,0,1,0,0
109,1,1,36.0,0,0,26.3875,0,1,0,0,0,1
111,1,1,24.0,3,2,14.4542,1,0,0,0,0,1
112,1,1,28.0,3,2,14.4542,1,0,0,0,0,1
113,1,1,23.0,3,2,14.4542,1,0,0,0,0,1
116,1,1,60.0,1,0,14.4542,1,0,0,0,0,1
117,1,1,30.0,0,0,56.9292,1,0,0,1,0,0
119,1,1,50.0,2,0,133.65,0,1,0,0,0,1
120,1,1,43.0,1,0,27.7208,0,1,0,1,0,0
121,1,1,3.0,1,0,133.65,1,0,0,0,0,1
122,1,1,22.0,0,2,49.5,1,0,0,1,0,0
123,1,1,60.0,1,1,79.2,0,1,0,1,0,0
124,1,1,48.0,1,1,79.2,1,0,0,1,0,0
127,1,1,35.0,1,0,53.1,1,0,0,0,0,1
129,1,1,35.0,0,0,14.4542,1,0,0,1,0,0
130,1,1,22.0,0,1,59.4,1,0,0,1,0,0
131,1,1,45.0,0,1,59.4,1,0,0,1,0,0
133,1,1,49.0,1,0,89.1042,0,1,0,1,0,0
134,1,1,3.0,1,0,89.1042,1,0,0,1,0,0
136,1,1,53.0,0,0,28.5,0,1,0,1,0,0
137,1,1,19.0,0,0,30.0,1,0,0,0,0,1
139,1,1,58.0,0,1,14.4542,1,0,0,0,0,1
140,1,1,23.0,0,1,63.3583,0,1,0,1,0,0
141,1,1,45.0,0,1,63.3583,1,0,0,1,0,0
143,1,1,25.0,1,0,55.4417,0,1,0,1,0,0
144,1,1,25.0,1,0,55.4417,1,0,0,1,0,0
145,1,1,48.0,1,0,76.7292,0,1,0,1,0,0
146,1,1,49.0,1,0,76.7292,1,0,0,1,0,0
149,1,1,35.0,1,0,83.475,1,0,0,0,0,1
151,1,1,27.0,0,0,76.7292,0,1,0,1,0,0
152,1,1,3.0,0,0,30.0,0,1,0,0,0,1
153,1,1,24.0,0,0,83.1583,1,0,0,1,0,0
155,1,1,52.0,1,1,93.5,1,0,0,0,0,1
159,1,1,16.0,0,1,57.9792,1,0,0,1,0,0
160,1,1,44.0,0,1,57.9792,1,0,0,1,0,0
161,1,1,51.0,1,0,77.9583,1,0,0,0,0,1
163,1,1,35.0,1,0,52.0,1,0,0,0,0,1
164,1,1,35.0,0,0,26.55,0,1,0,1,0,0
165,1,1,38.0,1,0,90.0,0,1,0,0,0,1
167,1,1,35.0,1,0,90.0,1,0,0,0,0,1
168,1,1,38.0,0,0,80.0,1,0,1,0,0,0
170,1,1,49.0,0,0,0.0,0,1,0,0,0,1
176,1,1,3.0,1,0,51.8625,1,0,0,0,0,1
177,1,1,42.0,1,0,52.5542,0,1,0,0,0,1
178,1,1,45.0,1,0,52.5542,1,0,0,0,0,1
180,1,1,39.0,0,0,14.4542,1,0,0,0,0,1
181,1,1,49.0,0,0,25.9292,1,0,0,0,0,1
182,1,1,30.0,0,0,106.425,1,0,0,1,0,0
183,1,1,35.0,0,0,14.4542,0,1,0,1,0,0
186,1,1,55.0,0,0,27.7208,1,0,0,1,0,0
187,1,1,16.0,0,1,39.4,1,0,0,0,0,1
188,1,1,51.0,0,1,39.4,1,0,0,0,0,1
190,1,1,21.0,0,0,77.9583,1,0,0,0,0,1
192,1,1,58.0,0,0,14.4542,1,0,0,1,0,0
193,1,1,15.0,0,1,14.4542,1,0,0,0,0,1
195,1,1,16.0,0,0,86.5,1,0,0,0,0,1
196,1,1,3.0,0,0,29.7,0,1,0,1,0,0
198,1,1,18.0,1,0,53.1,1,0,0,0,0,1
199,1,1,24.0,0,0,49.5042,1,0,0,1,0,0
202,1,1,36.0,0,0,26.2875,0,1,0,0,0,1
204,1,1,3.0,1,0,82.1708,1,0,0,1,0,0
207,1,1,33.0,1,0,90.0,1,0,0,0,1,0
208,1,1,37.0,1,0,90.0,1,0,0,0,1,0
209,1,1,30.0,1,0,57.75,0,1,0,1,0,0
213,1,1,31.0,1,0,113.275,1,0,0,1,0,0
214,1,1,23.0,1,0,113.275,1,0,0,1,0,0
216,1,1,19.0,0,2,26.2833,1,0,0,0,0,1
218,1,1,39.0,0,0,108.9,1,0,0,1,0,0
219,1,1,3.0,0,0,25.7417,0,1,0,1,0,0
220,1,1,22.0,0,1,61.9792,1,0,0,1,0,0
227,1,1,22.0,1,0,66.6,1,0,0,0,0,1
229,1,1,17.0,1,0,108.9,1,0,0,1,0,0
230,1,1,30.0,0,0,93.5,1,0,0,0,0,1
231,1,1,52.0,0,0,30.5,0,1,0,0,0,1
233,1,1,56.0,0,1,83.1583,1,0,0,1,0,0
235,1,1,3.0,0,0,39.6,0,1,0,0,0,1
238,1,1,43.0,0,1,14.4542,1,0,0,0,0,1
240,1,1,45.0,0,0,26.55,0,1,0,0,0,1
242,1,1,33.0,0,0,27.7208,1,0,0,1,0,0
245,1,1,33.0,0,0,86.5,1,0,0,0,0,1
247,1,1,54.0,1,0,59.4,1,0,0,1,0,0
249,1,1,13.0,2,2,14.4542,0,1,0,1,0,0
250,1,1,18.0,2,2,14.4542,1,0,0,1,0,0
251,1,1,21.0,2,2,14.4542,1,0,0,1,0,0
253,1,1,48.0,1,0,14.4542,1,0,0,1,0,0
254,1,1,3.0,0,0,30.5,0,1,0,0,0,1
255,1,1,24.0,0,0,69.3,1,0,0,1,0,0
256,1,1,3.0,0,0,26.0,0,1,0,0,0,1
257,1,1,35.0,1,0,57.75,1,0,0,1,0,0
258,1,1,30.0,0,0,31.0,1,0,0,1,0,0
259,1,1,34.0,0,0,26.55,0,1,0,0,0,1
260,1,1,40.0,0,0,14.4542,1,0,0,0,0,1
261,1,1,35.0,0,0,26.2875,0,1,0,0,0,1
263,1,1,39.0,1,0,55.9,1,0,0,0,0,1
264,1,1,56.0,0,0,35.5,0,1,0,1,0,0
265,1,1,28.0,0,0,35.5,0,1,0,0,0,1
270,1,1,18.0,1,0,60.0,1,0,0,0,0,1
271,1,1,24.0,1,0,82.2667,0,1,0,0,0,1
272,1,1,23.0,1,0,82.2667,1,0,0,0,0,1
273,1,1,6.0,0,2,134.5,0,1,0,1,0,0
274,1,1,45.0,1,1,134.5,0,1,0,1,0,0
275,1,1,40.0,1,1,134.5,1,0,0,1,0,0
277,1,1,3.0,1,0,14.4542,1,0,0,1,0,0
278,1,1,32.0,0,0,30.5,0,1,0,1,0,0
280,1,1,54.0,1,0,55.4417,0,1,0,1,0,0
281,1,1,43.0,1,0,55.4417,1,0,0,1,0,0
282,1,1,52.0,1,0,78.2667,1,0,0,1,0,0
284,1,1,62.0,0,0,80.0,1,0,1,0,0,0
288,1,1,48.0,0,0,25.9292,1,0,0,0,0,1
289,1,1,18.0,0,2,79.65,1,0,0,0,0,1
291,1,1,39.0,1,1,79.65,1,0,0,0,0,1
292,1,1,48.0,1,0,52.0,0,1,0,0,0,1
293,1,1,3.0,1,0,52.0,1,0,0,0,0,1
295,1,1,17.0,0,2,110.8833,0,1,0,1,0,0
296,1,1,39.0,1,1,110.8833,1,0,0,1,0,0
297,1,1,3.0,0,0,79.2,1,0,0,1,0,0
298,1,1,31.0,0,0,28.5375,0,1,0,1,0,0
302,1,1,35.0,0,0,14.4542,1,0,0,1,0,0
304,1,1,60.0,1,0,75.25,1,0,0,1,0,0
308,1,1,55.0,0,0,135.6333,1,0,0,1,0,0
309,1,1,31.0,0,2,14.4542,1,0,0,0,0,1
311,1,1,45.0,1,1,14.4542,1,0,0,0,0,1
314,1,1,50.0,1,1,14.4542,1,0,0,1,0,0
315,1,1,21.0,0,0,26.55,1,0,0,0,0,1
317,1,1,21.0,0,1,61.3792,0,1,0,1,0,0
319,1,1,31.0,0,0,134.5,1,0,0,1,0,0
320,1,1,3.0,0,0,35.5,0,1,0,0,0,1
322,1,1,36.0,0,0,135.6333,1,0,0,1,0,0
324,2,1,28.0,1,0,24.0,1,0,0,1,0,0
329,2,1,36.0,1,0,26.0,1,0,0,0,0,1
333,2,1,36.0,0,0,13.0,1,0,0,0,0,1
336,2,1,32.0,1,0,26.0,0,1,0,0,0,1
337,2,1,19.0,1,0,26.0,1,0,0,0,0,1
339,2,1,1.0,2,1,39.0,0,1,0,0,0,1
340,2,1,4.0,2,1,39.0,1,0,0,0,0,1
341,2,1,12.0,2,1,39.0,1,0,0,0,0,1
342,2,1,36.0,0,0,39.0,1,0,0,0,0,1
343,2,1,34.0,0,0,13.0,0,1,0,0,0,1
344,2,1,19.0,0,0,13.0,1,0,0,0,0,1
349,2,1,24.0,0,0,13.0,1,0,0,0,0,1
350,2,1,15.0,0,2,39.0,1,0,0,0,0,1
352,2,1,40.0,1,1,39.0,1,0,0,0,0,1
353,2,1,20.0,1,0,26.0,1,0,0,0,0,1
355,2,1,36.0,0,0,13.0,1,0,0,0,0,1
358,2,1,42.0,0,0,13.0,1,0,0,0,0,1
359,2,1,0.8333,0,2,29.0,0,1,0,0,0,1
360,2,1,26.0,1,1,29.0,0,1,0,0,0,1
361,2,1,22.0,1,1,29.0,1,0,0,0,0,1
362,2,1,35.0,0,0,21.0,1,0,0,0,0,1
370,2,1,25.0,1,1,30.0,1,0,0,0,0,1
371,2,1,45.0,0,2,30.0,1,0,0,0,0,1
373,2,1,28.0,1,0,26.0,1,0,0,0,0,1
376,2,1,24.0,0,0,10.5,0,1,0,0,0,1
377,2,1,8.0,0,2,26.25,1,0,0,0,0,1
379,2,1,31.0,1,1,26.25,1,0,0,0,0,1
380,2,1,22.0,0,0,10.5,1,0,0,0,0,1
385,2,1,8.0,1,1,36.75,0,1,0,0,0,1
387,2,1,48.0,0,2,36.75,1,0,0,0,0,1
388,2,1,28.0,0,0,13.0,1,0,0,0,0,1
392,2,1,24.0,1,0,27.7208,1,0,0,1,0,0
395,2,1,18.0,0,1,23.0,1,0,0,0,0,1
396,2,1,34.0,0,1,23.0,1,0,0,0,0,1
398,2,1,8.0,0,2,32.5,0,1,0,0,0,1
400,2,1,34.0,1,1,32.5,1,0,0,0,0,1
401,2,1,27.0,1,0,13.8583,1,0,0,1,0,0
402,2,1,30.0,1,0,13.8583,1,0,0,1,0,0
407,2,1,29.0,1,0,26.0,1,0,0,0,0,1
415,2,1,34.0,0,0,13.0,1,0,0,0,0,1
427,2,1,0.6667,1,1,14.5,0,1,0,0,0,1
428,2,1,24.0,0,2,14.5,1,0,0,0,0,1
430,2,1,6.0,0,1,33.0,1,0,0,0,0,1
432,2,1,62.0,0,0,10.5,0,1,0,0,0,1
434,2,1,7.0,0,2,26.25,1,0,0,0,0,1
436,2,1,45.0,1,1,26.25,1,0,0,0,0,1
437,2,1,24.0,1,2,65.0,1,0,0,0,0,1
438,2,1,24.0,1,2,65.0,1,0,0,0,0,1
440,2,1,48.0,1,2,65.0,1,0,0,0,0,1
441,2,1,55.0,0,0,16.0,1,0,0,0,0,1
446,2,1,20.0,2,1,23.0,1,0,0,0,0,1
449,2,1,54.0,1,0,23.0,1,0,0,0,0,1
452,2,1,29.0,1,0,26.0,1,0,0,0,0,1
454,2,1,42.0,0,0,13.0,0,1,0,0,0,1
458,2,1,17.0,0,0,10.5,1,0,0,0,0,1
460,2,1,24.0,2,1,27.0,1,0,0,0,0,1
465,2,1,23.0,0,0,13.7917,1,0,0,1,0,0
467,2,1,24.0,1,0,26.0,1,0,0,0,0,1
469,2,1,3.0,0,0,12.35,1,0,0,0,1,0
471,2,1,45.0,0,0,13.5,1,0,0,0,0,1
478,2,1,1.0,1,2,41.5792,1,0,0,1,0,0
479,2,1,3.0,1,2,41.5792,1,0,0,1,0,0
481,2,1,22.0,1,2,41.5792,1,0,0,1,0,0
482,2,1,17.0,0,0,12.0,1,0,0,1,0,0
483,2,1,3.0,0,0,33.0,1,0,0,0,0,1
484,2,1,34.0,0,0,10.5,1,0,0,0,0,1
489,2,1,42.0,1,0,26.0,1,0,0,0,0,1
492,2,1,1.0,0,2,37.0042,0,1,0,1,0,0
494,2,1,24.0,1,1,37.0042,1,0,0,1,0,0
501,2,1,13.0,0,1,19.5,1,0,0,0,0,1
502,2,1,41.0,0,1,19.5,1,0,0,0,0,1
503,2,1,19.0,0,0,10.5,0,1,0,0,0,1
513,2,1,14.0,1,0,30.0708,1,0,0,1,0,0
514,2,1,2.0,1,1,26.0,0,1,0,0,0,1
515,2,1,3.0,1,1,26.0,0,1,0,0,0,1
520,2,1,20.0,0,0,13.8625,0,1,0,1,0,0
521,2,1,29.0,0,0,10.5,1,0,0,0,0,1
523,2,1,22.0,0,0,10.5,0,1,0,0,0,1
524,2,1,3.0,0,0,13.8625,0,1,0,1,0,0
526,2,1,29.0,0,0,13.8583,0,1,0,1,0,0
529,2,1,50.0,0,1,26.0,1,0,0,0,0,1
533,2,1,21.0,0,1,21.0,1,0,0,0,0,1
534,2,1,19.0,0,0,26.0,1,0,0,0,0,1
536,2,1,32.0,0,0,13.0,1,0,0,0,0,1
538,2,1,30.0,0,0,12.7375,0,1,0,1,0,0
540,2,1,2.0,1,1,26.0,1,0,0,0,0,1
541,2,1,8.0,1,1,26.0,1,0,0,0,0,1
542,2,1,33.0,0,2,26.0,1,0,0,0,0,1
545,2,1,30.0,3,0,21.0,1,0,0,0,0,1
546,2,1,28.0,0,0,13.0,1,0,0,0,0,1
548,2,1,0.8333,1,1,18.75,0,1,0,0,0,1
549,2,1,3.0,1,1,18.75,0,1,0,0,0,1
550,2,1,24.0,2,0,18.75,1,0,0,0,0,1
551,2,1,50.0,0,0,10.5,1,0,0,0,0,1
553,2,1,21.0,0,0,10.5,1,0,0,0,0,1
557,2,1,25.0,0,1,26.0,1,0,0,0,0,1
558,2,1,18.0,0,2,13.0,1,0,0,0,0,1
559,2,1,20.0,0,0,36.75,1,0,0,0,0,1
560,2,1,30.0,0,0,13.0,1,0,0,0,0,1
562,2,1,30.0,0,0,12.35,1,0,0,0,1,0
564,2,1,40.0,0,0,13.0,1,0,0,0,0,1
570,2,1,50.0,0,0,10.5,1,0,0,0,0,1
572,2,1,28.0,0,0,12.65,1,0,0,0,0,1
573,2,1,27.0,0,0,10.5,1,0,0,0,0,1
577,2,1,31.0,0,0,21.0,1,0,0,0,0,1
580,2,1,31.0,0,0,21.0,1,0,0,0,0,1
582,2,1,12.0,0,0,15.75,1,0,0,0,0,1
583,2,1,40.0,0,0,15.75,1,0,0,0,0,1
584,2,1,32.5,0,0,13.0,1,0,0,0,0,1
586,2,1,29.0,1,0,26.0,1,0,0,0,0,1
587,2,1,2.0,1,1,23.0,0,1,0,0,0,1
588,2,1,4.0,1,1,23.0,1,0,0,0,0,1
589,2,1,29.0,0,2,23.0,1,0,0,0,0,1
590,2,1,0.9167,1,2,27.75,1,0,0,0,0,1
591,2,1,5.0,1,2,27.75,1,0,0,0,0,1
593,2,1,33.0,1,2,27.75,1,0,0,0,0,1
596,2,1,31.0,0,0,13.0,0,1,0,0,0,1
597,2,1,3.0,0,0,13.0,0,1,0,0,0,1
598,2,1,26.0,0,0,13.5,1,0,0,0,0,1
603,3,1,35.0,1,1,20.25,1,0,0,0,0,1
604,3,1,16.0,0,0,7.65,1,0,0,0,0,1
605,3,1,25.0,0,0,7.65,0,1,0,0,0,1
606,3,1,20.0,0,0,7.925,0,1,0,0,0,1
607,3,1,18.0,0,0,7.2292,1,0,0,1,0,0
611,3,1,0.8333,0,1,9.35,0,1,0,0,0,1
612,3,1,18.0,0,1,9.35,1,0,0,0,0,1
613,3,1,26.0,0,0,18.7875,0,1,0,1,0,0
621,3,1,19.0,1,0,7.8542,1,0,0,0,0,1
625,3,1,17.0,4,2,7.925,1,0,0,0,0,1
630,3,1,27.0,0,0,7.7958,0,1,0,0,0,1
